experiment,kv_quantization,state_quantization,state_backend,context_length,decode_steps,ppl,baseline_ppl,ppl_degradation_pct,elapsed_s,tokens_per_s
kv_int4,int4,none,,1024,128,3.292638000432002,3.170839000987126,3.841223077140099,3.79549334384501,33.72420615822503
kv_int4,int4,none,,1024,256,3.586769021774283,3.4353844749168307,4.406626040339123,7.466600934974849,34.286016117568536
kv_int4,int4,none,,1024,512,2.762522204947013,2.661982364057251,3.7768785491322454,14.832196233794093,34.51950014209257
kv_int4,int4,none,,1024,1024,3.850686816667658,3.784174889785177,1.7576335349092975,29.715958654880524,34.45959835564043
kv_int4,int4,none,,1024,2048,4.82891743782523,4.779954190060373,1.0243455442872973,60.25666611781344,33.98794078643123
ssm_mx8,normal,mx8,mx8_kernel,1024,128,3.24703202328975,3.170839000987126,2.402929391208586,4.126851253211498,31.016383229318222
ssm_mx8,normal,mx8,mx8_kernel,1024,256,3.536793339981823,3.4353844749168307,2.9518927446235077,8.136965623125434,31.46135941295394
ssm_mx8,normal,mx8,mx8_kernel,1024,512,2.7604334424088623,2.661982364057251,3.6984121187624064,16.224049929063767,31.55808828489877
ssm_mx8,normal,mx8,mx8_kernel,1024,1024,3.9696086826785657,3.784174889785177,4.900243733288856,32.91177791683003,31.113481702134333
ssm_mx8,normal,mx8,mx8_kernel,1024,2048,5.065371633521466,4.779954190060373,5.971133448404209,66.48605449404567,30.8034521763269
ssm_mx8_skip_attn_adjacent,normal,mx8,mx8_kernel,1024,128,3.1770376813339314,3.1872768394976805,-0.3212509825586074,4.108414852060378,31.155568414861456
ssm_mx8_skip_attn_adjacent,normal,mx8,mx8_kernel,1024,256,3.4709088908635426,3.446721854102322,0.7017403139865541,8.083541247993708,31.66928851430527
ssm_mx8_skip_attn_adjacent,normal,mx8,mx8_kernel,1024,512,2.687423320118992,2.6674680242511264,0.748098784556861,16.09490347886458,31.811312237587845
ssm_mx8_skip_attn_adjacent,normal,mx8,mx8_kernel,1024,1024,3.8637977466071476,3.7828616559389108,2.1395466720590006,32.721731984987855,31.294187009104313
ssm_mx8_skip_attn_adjacent,normal,mx8,mx8_kernel,1024,2048,4.940374998308461,4.778654966076091,3.3842165500633348,66.15554589731619,30.957344123179304
ssm_mx4,normal,mx4,mx4_kernel,1024,128,4.0243331999732925,3.170839000987126,26.91698313034696,4.1317524667829275,30.979590628686328
ssm_mx4,normal,mx4,mx4_kernel,1024,256,6.216658123294091,3.4353844749168307,80.95960346460475,8.163637884892523,31.358568766719657
ssm_mx4,normal,mx4,mx4_kernel,1024,512,8.268069267449887,2.661982364057251,210.59819851128307,16.3488872339949,31.317116123681966
ssm_mx4,normal,mx4,mx4_kernel,1024,1024,13.253945886214543,3.784174889785177,250.24665276416317,33.14490717975423,30.894640749680114
ssm_mx4,normal,mx4,mx4_kernel,1024,2048,14.936572566940354,4.779954190060373,212.48359237417085,67.61076529370621,30.29103414379848
both_int4_mx8,int4,mx8,mx8_kernel,1024,128,3.255799176167849,3.170839000987126,2.6794225488671497,3.8231865842826664,33.47992497311409
both_int4_mx8,int4,mx8,mx8_kernel,1024,256,3.620787584973791,3.4353844749168307,5.396866388919941,7.535413768142462,33.972918790776106
both_int4_mx8,int4,mx8,mx8_kernel,1024,512,2.818234137023831,2.661982364057251,5.8697523723797,15.004684195388108,34.12267751409057
both_int4_mx8,int4,mx8,mx8_kernel,1024,1024,4.030980052491114,3.784174889785177,6.52203372978748,30.109409305267036,34.00930219580468
both_int4_mx8,int4,mx8,mx8_kernel,1024,2048,5.114804688952423,4.779954190060373,7.005307699148067,61.01575882034376,33.5650992398567
