experiment,kv_quantization,state_quantization,state_backend,context_length,decode_steps,ppl,baseline_ppl,ppl_degradation_pct,elapsed_s,tokens_per_s
kv_int4,int4,none,,1024,128,3.298322473657938,3.176922691245032,3.8213011209702774,3.777767068706453,33.88244898959018
kv_int4,int4,none,,1024,256,3.589024304037133,3.437395704345269,4.411147645881663,7.4209310919977725,34.49701888164047
kv_int4,int4,none,,1024,512,2.76369461335749,2.6665085729506393,3.6446925913802275,14.70524423988536,34.81751079055804
kv_int4,int4,none,,1024,1024,3.8543153909503207,3.784672571295777,1.840127998990937,29.32946841372177,34.91369108895688
kv_int4,int4,none,,1024,2048,4.839394091122482,4.770380382740606,1.4467129001194623,58.52458626497537,34.99383986633403
ssm_mxfp8,normal,mxfp8,kernel,1024,128,3.303240038773922,3.176922691245032,3.976091325010689,3.6308134710416198,35.25380772680645
ssm_mxfp8,normal,mxfp8,kernel,1024,256,3.6416424924687734,3.437395704345269,5.941905026101946,7.0717538320459425,36.200355114162136
ssm_mxfp8,normal,mxfp8,kernel,1024,512,3.6146906859778563,2.6665085729506393,35.55893735522482,13.933057382237166,36.74713926411681
ssm_mxfp8,normal,mxfp8,kernel,1024,1024,5.145603622124561,3.784672571295777,35.95901693453063,27.682491005863994,36.99089073245199
ssm_mxfp8,normal,mxfp8,kernel,1024,2048,6.870512025231946,4.770380382740606,44.024406315472994,55.23245598515496,37.07964752736053
ssm_mxfp4,normal,mxfp4,kernel,1024,128,229.16792579635384,3.176922691245032,7113.519121126086,23.778778825886548,5.382950947029037
ssm_mxfp4,normal,mxfp4,kernel,1024,256,1108.2022884679714,3.437395704345269,32139.59019518976,27.207251236774027,9.409256296129753
ssm_mxfp4,normal,mxfp4,kernel,1024,512,2557.6193359862546,2.6665085729506393,95816.41151770636,34.05158966500312,15.036008745465807
ssm_mxfp4,normal,mxfp4,kernel,1024,1024,5149.658248184731,3.784672571295777,135966.14974414068,47.78502258379012,21.429308696138744
ssm_mxfp4,normal,mxfp4,kernel,1024,2048,8929.751246882419,4.770380382740606,187091.5975336171,75.18801391590387,27.238384063324812
both_int4_mxfp8,int4,mxfp8,kernel,1024,128,3.4173204670253834,3.176922691245032,7.567001124794115,3.6717038052156568,34.86119981088233
both_int4_mxfp8,int4,mxfp8,kernel,1024,256,3.749048744581269,3.437395704345269,9.066545345420485,7.222457547206432,35.44499892547212
both_int4_mxfp8,int4,mxfp8,kernel,1024,512,3.7941681800264795,2.6665085729506393,42.28974241879231,14.275384907145053,35.86593309604815
both_int4_mxfp8,int4,mxfp8,kernel,1024,1024,5.50222378764211,3.784672571295777,45.38176510625558,28.376430890057236,36.08628597329333
both_int4_mxfp8,int4,mxfp8,kernel,1024,2048,7.1601067720009075,4.770380382740606,50.09509090525381,56.776329800952226,36.07137000894432
