experiment,kv_quantization,state_quantization,state_backend,context_length,decode_steps,ppl,baseline_ppl,ppl_degradation_pct,elapsed_s,tokens_per_s
ssm_mxfp8,normal,mxfp8,kernel,1024,128,3.2638354809781913,3.170839000987126,2.932866662801681,3.9176612803712487,32.6725540672241
ssm_mxfp8,normal,mxfp8,kernel,1024,256,3.5252334718379292,3.4353844749168307,2.6153985842668703,7.5383629580028355,33.95962776350888
ssm_mxfp8,normal,mxfp8,kernel,1024,512,2.761048794748398,2.661982364057251,3.7215284379328084,14.778923718258739,34.64393008317957
ssm_mxfp8,normal,mxfp8,kernel,1024,1024,3.9153263272262544,3.784174889785177,3.4657868957140847,29.319881949108094,34.92510651227741
ssm_mxfp8,normal,mxfp8,kernel,1024,2048,4.969441093630295,4.779954190060373,3.9641991541247146,58.40696674119681,35.06431020591696
both_int4_mxfp8,int4,mxfp8,kernel,1024,128,3.373031000756907,3.170839000987126,6.376608831505992,3.8747695479542017,33.03422265914662
both_int4_mxfp8,int4,mxfp8,kernel,1024,256,3.6662304281985905,3.4353844749168307,6.719654087257543,7.634108195081353,33.533713887489895
both_int4_mxfp8,int4,mxfp8,kernel,1024,512,2.8565105175965604,2.661982364057251,7.307642460967312,15.147191500291228,33.80164567076055
both_int4_mxfp8,int4,mxfp8,kernel,1024,1024,4.003663106889807,3.784174889785177,5.8001604972620635,30.167275108397007,33.944066751821794
both_int4_mxfp8,int4,mxfp8,kernel,1024,2048,5.048389705602797,4.779954190060373,5.615859585027394,60.32099128421396,33.95169668798137
