staging_mode,batch_size,context_length,decode_step,decode_position,attn_layer_id,prev_attn_layer_id,T_gap_ms,T_stage_ms,T_attn_ms,wait_before_attention_ms,hideability,overlap_ratio,stage_target,gap_slowdown_pct
none,8,2048,0,2052,7,,4.490240097045898,,1.5769599676132202,,,,NONE,
none,8,2048,0,2052,18,7,5.4128642082214355,,1.572864055633545,,,,NONE,
none,8,2048,0,2052,29,18,5.375999927520752,,1.56876802444458,,,,NONE,
none,8,2048,0,2052,40,29,5.430272102355957,,1.4254080057144165,,,,NONE,
none,8,2048,1,2053,7,,4.348927974700928,,1.581055998802185,,,,NONE,
none,8,2048,1,2053,18,7,5.475327968597412,,1.5677440166473389,,,,NONE,
none,8,2048,1,2053,29,18,5.3882880210876465,,1.5779839754104614,,,,NONE,
none,8,2048,1,2053,40,29,5.359615802764893,,1.5697920322418213,,,,NONE,
none,8,2048,2,2054,7,,4.335616111755371,,1.5554560422897339,,,,NONE,
none,8,2048,2,2054,18,7,5.45689582824707,,1.5708160400390625,,,,NONE,
none,8,2048,2,2054,29,18,5.399551868438721,,1.5738879442214966,,,,NONE,
none,8,2048,2,2054,40,29,5.387263774871826,,1.5790079832077026,,,,NONE,
none,8,2048,3,2055,7,,4.468736171722412,,1.5697920322418213,,,,NONE,
none,8,2048,3,2055,18,7,5.422080039978027,,1.5534080266952515,,,,NONE,
none,8,2048,3,2055,29,18,5.443583965301514,,1.5738879442214966,,,,NONE,
none,8,2048,3,2055,40,29,5.392384052276611,,1.551360011100769,,,,NONE,
none,8,2048,4,2056,7,,4.40115213394165,,1.5534080266952515,,,,NONE,
none,8,2048,4,2056,18,7,5.40774393081665,,1.546239972114563,,,,NONE,
none,8,2048,4,2056,29,18,5.40774393081665,,1.56876802444458,,,,NONE,
none,8,2048,4,2056,40,29,5.502975940704346,,1.5738879442214966,,,,NONE,
none,8,2048,5,2057,7,,4.379648208618164,,1.5667200088500977,,,,NONE,
none,8,2048,5,2057,18,7,5.435391902923584,,1.5697920322418213,,,,NONE,
none,8,2048,5,2057,29,18,5.428224086761475,,1.581055998802185,,,,NONE,
none,8,2048,5,2057,40,29,5.413887977600098,,1.5615999698638916,,,,NONE,
