staging_mode,batch_size,context_length,decode_step,decode_position,attn_layer_id,prev_attn_layer_id,T_gap_ms,T_stage_ms,T_attn_ms,wait_before_attention_ms,hideability,overlap_ratio_wait_based,stage_target,gap_slowdown_ms,gap_slowdown_pct,net_stage_cost_ms,effective_overlap_wall_clock
none,8,2048,0,2052,7,,4.506624221801758,,1.5708160400390625,,,,NONE,,,,
none,8,2048,0,2052,18,7,5.4476799964904785,,1.5831040143966675,,,,NONE,,,,
none,8,2048,0,2052,29,18,5.4620161056518555,,1.5554560422897339,,,,NONE,,,,
none,8,2048,0,2052,40,29,5.470208168029785,,1.5697920322418213,,,,NONE,,,,
none,8,2048,1,2053,7,,4.375552177429199,,1.5820800065994263,,,,NONE,,,,
none,8,2048,1,2053,18,7,5.458943843841553,,1.5697920322418213,,,,NONE,,,,
none,8,2048,1,2053,29,18,5.4036478996276855,,1.5544320344924927,,,,NONE,,,,
none,8,2048,1,2053,40,29,5.467135906219482,,1.5421439409255981,,,,NONE,,,,
none,8,2048,2,2054,7,,4.316160202026367,,1.581055998802185,,,,NONE,,,,
none,8,2048,2,2054,18,7,5.45689582824707,,1.5441919565200806,,,,NONE,,,,
none,8,2048,2,2054,29,18,5.449728012084961,,1.56876802444458,,,,NONE,,,,
none,8,2048,2,2054,40,29,5.408768177032471,,1.5544320344924927,,,,NONE,,,,
none,8,2048,3,2055,7,,4.305920124053955,,1.5800319910049438,,,,NONE,,,,
none,8,2048,3,2055,18,7,5.444608211517334,,1.546239972114563,,,,NONE,,,,
none,8,2048,3,2055,29,18,5.468160152435303,,1.5626239776611328,,,,NONE,,,,
none,8,2048,3,2055,40,29,5.436416149139404,,1.5646719932556152,,,,NONE,,,,
none,8,2048,4,2056,7,,4.320256233215332,,1.572864055633545,,,,NONE,,,,
none,8,2048,4,2056,18,7,5.468160152435303,,1.5708160400390625,,,,NONE,,,,
none,8,2048,4,2056,29,18,5.5214080810546875,,1.56876802444458,,,,NONE,,,,
none,8,2048,4,2056,40,29,5.404672145843506,,1.56876802444458,,,,NONE,,,,
none,8,2048,5,2057,7,,4.347904205322266,,1.575935959815979,,,,NONE,,,,
none,8,2048,5,2057,18,7,5.480447769165039,,1.575935959815979,,,,NONE,,,,
none,8,2048,5,2057,29,18,5.443583965301514,,1.5749119520187378,,,,NONE,,,,
none,8,2048,5,2057,40,29,5.459968090057373,,1.56876802444458,,,,NONE,,,,
none,8,2048,6,2058,7,,4.343808174133301,,1.5615999698638916,,,,NONE,,,,
none,8,2048,6,2058,18,7,5.506048202514648,,1.5503360033035278,,,,NONE,,,,
none,8,2048,6,2058,29,18,5.460991859436035,,1.4243839979171753,,,,NONE,,,,
none,8,2048,6,2058,40,29,5.442560195922852,,1.5708160400390625,,,,NONE,,,,
none,8,2048,7,2059,7,,4.357120037078857,,1.563647985458374,,,,NONE,,,,
none,8,2048,7,2059,18,7,5.406720161437988,,1.5677440166473389,,,,NONE,,,,
none,8,2048,7,2059,29,18,5.469183921813965,,1.5697920322418213,,,,NONE,,,,
none,8,2048,7,2059,40,29,5.457920074462891,,1.5615999698638916,,,,NONE,,,,
none,8,2048,8,2060,7,,4.315135955810547,,1.5738879442214966,,,,NONE,,,,
none,8,2048,8,2060,18,7,5.421055793762207,,1.5656960010528564,,,,NONE,,,,
none,8,2048,8,2060,29,18,5.429247856140137,,1.5697920322418213,,,,NONE,,,,
none,8,2048,8,2060,40,29,5.448703765869141,,1.5656960010528564,,,,NONE,,,,
none,8,2048,9,2061,7,,4.3673601150512695,,1.5667200088500977,,,,NONE,,,,
none,8,2048,9,2061,18,7,5.4323201179504395,,1.5677440166473389,,,,NONE,,,,
none,8,2048,9,2061,29,18,5.453824043273926,,1.5769599676132202,,,,NONE,,,,
none,8,2048,9,2061,40,29,5.509119987487793,,1.5769599676132202,,,,NONE,,,,
none,8,2048,10,2062,7,,4.356095790863037,,1.5779839754104614,,,,NONE,,,,
none,8,2048,10,2062,18,7,5.427199840545654,,1.5595519542694092,,,,NONE,,,,
none,8,2048,10,2062,29,18,5.469183921813965,,1.5575040578842163,,,,NONE,,,,
none,8,2048,10,2062,40,29,5.438464164733887,,1.5534080266952515,,,,NONE,,,,
none,8,2048,11,2063,7,,4.345856189727783,,4.783103942871094,,,,NONE,,,,
none,8,2048,11,2063,18,7,5.6156158447265625,,1.5708160400390625,,,,NONE,,,,
none,8,2048,11,2063,29,18,5.483520030975342,,1.5800319910049438,,,,NONE,,,,
none,8,2048,11,2063,40,29,5.445631980895996,,1.5656960010528564,,,,NONE,,,,
none,8,2048,12,2064,7,,4.554751873016357,,1.5697920322418213,,,,NONE,,,,
none,8,2048,12,2064,18,7,5.4527997970581055,,1.575935959815979,,,,NONE,,,,
none,8,2048,12,2064,29,18,5.441535949707031,,1.5626239776611328,,,,NONE,,,,
none,8,2048,12,2064,40,29,5.405695915222168,,1.5503360033035278,,,,NONE,,,,
none,8,2048,13,2065,7,,4.327424049377441,,1.5831040143966675,,,,NONE,,,,
none,8,2048,13,2065,18,7,5.443583965301514,,1.558527946472168,,,,NONE,,,,
none,8,2048,13,2065,29,18,5.426176071166992,,1.5831040143966675,,,,NONE,,,,
none,8,2048,13,2065,40,29,5.449728012084961,,1.5503360033035278,,,,NONE,,,,
none,8,2048,14,2066,7,,4.346879959106445,,1.5790079832077026,,,,NONE,,,,
none,8,2048,14,2066,18,7,5.465087890625,,1.5708160400390625,,,,NONE,,,,
none,8,2048,14,2066,29,18,5.445631980895996,,1.5656960010528564,,,,NONE,,,,
none,8,2048,14,2066,40,29,5.810175895690918,,1.5708160400390625,,,,NONE,,,,
none,8,2048,15,2067,7,,4.289535999298096,,1.5595519542694092,,,,NONE,,,,
none,8,2048,15,2067,18,7,5.457920074462891,,1.5667200088500977,,,,NONE,,,,
none,8,2048,15,2067,29,18,5.450751781463623,,1.5667200088500977,,,,NONE,,,,
none,8,2048,15,2067,40,29,5.441535949707031,,1.5749119520187378,,,,NONE,,,,
none,8,2048,16,2068,7,,4.3284478187561035,,1.5769599676132202,,,,NONE,,,,
none,8,2048,16,2068,18,7,5.4917120933532715,,1.558527946472168,,,,NONE,,,,
none,8,2048,16,2068,29,18,5.488639831542969,,1.5749119520187378,,,,NONE,,,,
none,8,2048,16,2068,40,29,5.47430419921875,,1.5575040578842163,,,,NONE,,,,
none,8,2048,17,2069,7,,4.314112186431885,,1.5646719932556152,,,,NONE,,,,
none,8,2048,17,2069,18,7,5.457920074462891,,1.5708160400390625,,,,NONE,,,,
none,8,2048,17,2069,29,18,6.198272228240967,,1.5779839754104614,,,,NONE,,,,
none,8,2048,17,2069,40,29,5.46611213684082,,1.5554560422897339,,,,NONE,,,,
none,8,2048,18,2070,7,,4.375552177429199,,1.5646719932556152,,,,NONE,,,,
none,8,2048,18,2070,18,7,5.449728012084961,,1.5749119520187378,,,,NONE,,,,
none,8,2048,18,2070,29,18,5.446656227111816,,1.5790079832077026,,,,NONE,,,,
none,8,2048,18,2070,40,29,5.464064121246338,,1.5523840188980103,,,,NONE,,,,
none,8,2048,19,2071,7,,4.297728061676025,,1.4387199878692627,,,,NONE,,,,
