staging_mode,batch_size,context_length,decode_step,decode_position,layer_id,layer_type,elapsed_ms
none,8,2048,0,2052,0,mamba,0.8404480218887329
none,8,2048,0,2052,1,mlp,0.3901439905166626
none,8,2048,0,2052,2,mamba,0.7178239822387695
none,8,2048,0,2052,3,mlp,0.3829759955406189
none,8,2048,0,2052,4,mamba,0.7065600156784058
none,8,2048,0,2052,5,mlp,0.38092800974845886
none,8,2048,0,2052,6,mamba,0.7096319794654846
none,8,2048,0,2052,7,attention,1.70905601978302
none,8,2048,0,2052,8,mlp,0.28569599986076355
none,8,2048,0,2052,9,mamba,0.7208960056304932
none,8,2048,0,2052,10,mlp,0.3840000033378601
none,8,2048,0,2052,11,mamba,0.719871997833252
none,8,2048,0,2052,12,mlp,0.3891200125217438
none,8,2048,0,2052,13,mamba,0.7024639844894409
none,8,2048,0,2052,14,mlp,0.38092800974845886
none,8,2048,0,2052,15,mamba,0.6952959895133972
none,8,2048,0,2052,16,mlp,0.37990400195121765
none,8,2048,0,2052,17,mamba,0.6860799789428711
none,8,2048,0,2052,18,attention,1.7131520509719849
none,8,2048,0,2052,19,mlp,0.28467199206352234
none,8,2048,0,2052,20,mamba,0.7178239822387695
none,8,2048,0,2052,21,mlp,0.3819519877433777
none,8,2048,0,2052,22,mamba,0.7086079716682434
none,8,2048,0,2052,23,mlp,0.37990400195121765
none,8,2048,0,2052,24,mamba,0.7096319794654846
none,8,2048,0,2052,25,mlp,0.38809600472450256
none,8,2048,0,2052,26,mamba,0.7055360078811646
none,8,2048,0,2052,27,mlp,0.38809600472450256
none,8,2048,0,2052,28,mamba,0.6830080151557922
none,8,2048,0,2052,29,attention,1.6926720142364502
none,8,2048,0,2052,30,mlp,0.28467199206352234
none,8,2048,0,2052,31,mamba,0.719871997833252
none,8,2048,0,2052,32,mlp,0.37887999415397644
none,8,2048,0,2052,33,mamba,0.6983680129051208
none,8,2048,0,2052,34,mlp,0.37990400195121765
none,8,2048,0,2052,35,mamba,0.7014399766921997
none,8,2048,0,2052,36,mlp,0.38604798913002014
none,8,2048,0,2052,37,mamba,0.7106559872627258
none,8,2048,0,2052,38,mlp,0.3850240111351013
none,8,2048,0,2052,39,mamba,0.7096319794654846
none,8,2048,0,2052,40,attention,1.6998399496078491
